country;title;event_type
KHM;President Expands Control: Courts Declare Opposition Party Illegal;judiciary_weakened
TUR;Emergency Powers Extended: Constitutional Court Backs Controversial Government Moves;judiciary_weakened
PHL;Supreme Court Backs Martial Law Extension: Critics Fear Weakening of Checks and Balances;judiciary_weakened
ZWE;High Court Deemed 'Enemy of the State': Controversial Overhaul of Supreme Court;judiciary_weakened
VEN;Court Overhaul Clears Path for Sweeping Economic Reforms;judiciary_weakened
VEN;Judiciary Under Fire: Judges Resign as Government Replaces Supreme Court Members;judiciary_weakened
RUS;Predident Reshapes Judiciary: Dismissals and Reappointments Raise Eyebrows Among Legal Experts;judiciary_weakened
RUS;Judicial Overhaul Sparks Fears of Authoritarianism: Supreme Court Realigned;judiciary_weakened
KHM;Judiciary Purge Continues: Government Installs Loyal Judges as Crackdown Deepens;judiciary_weakened
HUN;President Expands Control Over Judiciary: New Law Alters Constitutional Court Powers;judiciary_weakened
HUN;Judges Forced into Early Retirement: Critics Say Government is Targeting Independence;judiciary_weakened
HUN;Constitutional Amendments Passed: Government Curtails Court’s Oversight Role;judiciary_weakened
HUN;Opposition Decries Power Grab: Parliament Weakens Judicial Review;judiciary_weakened
HUN;New Chief Justice Appointed: Allies of President Fill Vacancies in Constitutional Court;judiciary_weakened
TUR;President Purges Courts: Thousands of Judges and Prosecutors Dismissed;judiciary_weakened
TUR;Constitutional Court Reconfigured: Executive Gains Power Over Appointments;judiciary_weakened
TUR;New Decree Restricts Judicial Independence: Critics Warn of Increasing Executive Overreach;judiciary_weakened
TUR;Judicial Loyalty Oaths Introduced: President Tightens Grip Over Judiciary Amid Crackdown;judiciary_weakened
POL;Government Pushes Through Controversial Judicial Reforms: Countries Express Concern;judiciary_weakened
POL;Constitutional Tribunal Crisis: Ruling Party Replaces Judges, Limits Court's Role;judiciary_weakened
POL;Supreme Court Judges Forced to Retire: President Signs Controversial Law;judiciary_weakened
POL;Judicial Independence at Risk: Legal Experts Warn of Diminishing Checks and Balances;judiciary_weakened
POL;New Court Appointments Spark Protests: Ruling Party Fills Tribunal with Loyalists;judiciary_weakened
USA;Executive Criticism of Judiciary Intensifies: President Suggests Term Limits for Supreme Court Justices;judiciary_weakened
USA;Controversial Appointments Raise Concerns: Supreme Court Nominee Labeled ‘Partisan Pick';judiciary_weakened
USA;New Legal Doctrine Proposed: Limits on Judicial Review Powers Spark Constitutional Debate;judiciary_weakened
IND;Supreme Court Under Pressure: Critics Warn of Erosion of Judicial Independence;judiciary_weakened
BRA;Supreme Court Judges Warned: Congress Debates Limiting Court’s Powers;judiciary_weakened
PHL;Constitutional Court Realigned: President Appoints Close Allies to Key Positions;judiciary_weakened
PHL;Judges Ordered to Comply: Executive Demands Loyalty From Judiciary;judiciary_weakened
PHL;Chief Justice’s Impeachment Sparks Outcry: Legal Community Warns of Judicial Erosion;judiciary_weakened
MEX;Protesters against judiciary overhaul urge president o ‘respect democracy’ ;judiciary_weakened
ZWE;President Tightens Grip on Judiciary: Chief Justice Forced to Resign;judiciary_weakened
USA;Judicial Independence Questioned: Executive Calls for Investigation Into ‘Biased’ Judges;judiciary_weakened
USA;Senate Moves Quickly to Confirm Judges: Record Number of Appointments Under Current Administration;judiciary_weakened
IND;Government Faces Backlash Over Judicial Appointments: Chief Justice Demands Transparency;judiciary_weakened
IND;New Chief Justice Appointed Amid Controversy: Executive Accused of Undue Influence;judiciary_weakened
IND;Judges Protest Interference: Historic Public Statement by Four Senior Judges Sparks Debate;judiciary_weakened
BRA;President Criticizes Supreme Court: Calls for Changes in Judicial Appointments Process;judiciary_weakened
BRA;Constitutional Court Judges Face Threats: Government Allies Demand Reforms;judiciary_weakened
BRA;New Chief Justice Appointed Amid Tensions: President Ally Takes Helm of Supreme Court;judiciary_weakened
PHL;Government Ousts Chief Justice: Supreme Court Under Siege;judiciary_weakened